1	'dul ba gzhi/
2	so sor thar ba'i mdo/
3	'dul ba rnam par 'byed pa/
4	dge slong ma'i so sor thar ba'i mdo/
5	dge slong ma'i 'dul ba rnam par 'byed pa/
6	'dul ba phran tshegs kyi gzhi/
7	'dul ba gzhung bla ma/
8	'dul ba gzhung dam pa/
9	shes rab kyi pha rol tu phyin pa stong phrag brgya pa/
10	shes rab kyi pha rol tu phyin pa stong phrag nyi shu lnga pa/
11	'phags pa shes rab kyi pha rol tu phyin pa brgyad stong pa/
12	'phags pa shes rab kyi pha rol tu phyin pa khri brgyad stong pa zhes bya ba theg pa chen po'i mdo/
13	'phags pa shes rab kyi pha rol tu phyin pa khri pa zhes bya ba theg pa chen po'i mdo/
14	'phags pa rab kyi rtsal gyis rnam par gnon pas zhus pa shes rab kyi pha rol tu phyin pa bstan pa/
15	'phags pa shes rab kyi pha rol tu phyin pa bdun brgya pa zhes bya ba theg pa chen po'i mdo/
16	'phags pa shes rab kyi pha rol tu phyin pa lnga brgya pa/
17	'phags pa shes rab kyi pha rol tu phyin pa sdud pa tshigs su bcad pa/
18	'phags pa shes rab kyi pha rol tu phyin pa rdo rje gcod pa zhes bya ba theg pa chen po'i mdo/
19	'phags pa shes rab kyi pha rol tu phyin pa'i tshul brgya lnga bcu pa/
20	'phags pa shes rab kyi pha rol tu phyin pa'i mtshan brgya rtsa brgyad pa/
21	'phags pa bcom ldan 'das ma shes rab kyi pha rol tu phyin pa lnga bcu pa/
22	bcom ldan 'das ma shes rab kyi pha rol tu phyin ma de bzhin gshegs pa thams cad kyi yum yi ge gcig ma zhes bya ba/
23	'phags pa shes rab kyi pha rol tu phyin pa ko'u shi ka zhes bya ba/
24	'phags pa shes rab kyi pha rol tu phyin pa yi ge nyung ngu zhes bya ba'i theg pa chen po'i mdo/
25	'phags pa shes rab kyi pha rol tu phyin pa'i sgo nyi shu rtsa lnga pa zhes bya ba theg pa chen po'i mdo/
26	'phags pa bcom ldan 'das ma shes rab kyi pha rol tu phyin pa'i snying po/
27	'phags pa shes rab kyi pha rol tu phyin pa nyi ma'i snying po'i theg pa chen po'i mdo/
28	'phags pa zla ba'i snying po shes rab kyi pha rol tu phyin pa theg pa chen po'i mdo/
29	'phags pa shes rab kyi pha rol tu phyin pa kun tu bzang po theg pa chen po'i mdo/
30	'phags pa shes rab kyi pha rol tu phyin pa lag na rdo rje'i mdo theg pa chen po/
31	'phags pa shes rab kyi pha rol tu phyin pa rdo rje rgyal mtshan gyi mdo theg pa chen po/
32	chos kyi 'khor lo rab tu bskor ba'i mdo/
33	skyes pa rabs kyi gleng gzhi/
34	lcang lo can gyi pho brang gi mdo/
35	'dus pa chen po'i mdo/
36	byams pa'i mdo/
37	byams pa bsgom pa'i mdo/
38	bslab pa lnga'i phan yon gyi mdo/
39	ri'i kun dga' bo'i mdo/
40	klu'i rgyal po dga' bo nyer dga' 'dul ba'i mdo/
41	'od srung chen po'i mdo/
42	nyi ma'i mdo/
43	zla ba'i mdo/
44	bkra shis chen po'i mdo/
45	sdom pa gsum bstan pa'i le'u zhes bya ba theg pa chen po'i mdo/
46	'phags pa sgo mtha' yas pa rnam par sbyong ba bstan pa zhes bya ba theg pa chen po'i mdo/
47	'phags pa de bzhin gshegs pa'i gsang ba bsam gyis mi khyab pa bstan pa zhes bya ba theg pa chen po'i mdo/
48	'phags pa rmi lam bstan pa zhes bya ba theg pa chen po'i mdo/
49	'phags pa 'od dpag med kyi bkod pa zhes bya ba theg pa chen po'i mdo/
50	'phags pa de bzhin gshegs pa mi 'khrugs pa'i bkod pa zhes bya ba theg pa chen po'i mdo/
51	'phags pa go cha'i bkod pa bstan pa zhes bya ba theg pa chen po'i mdo/
52	'phags pa chos kyi dbyings kyi rang bzhin dbyer med pa bstan pa zhes bya ba theg pa chen po'i mdo/
53	'phags pa chos bcu pa zhes bya ba theg pa chen po'i mdo/
54	'phags pa kun nas sgo'i le'u zhes bya ba theg pa chen po'i mdo/
55	'phags pa 'od zer kun du bkye ba bstan pa zhes bya ba theg pa chen po'i mdo/
56	'phags pa byang chub sems dpa'i sde snod ces bya ba theg pa chen po'i mdo/
57	'phags pa tshe dang ldan pa dga' bo mngal du 'jug pa bstan pa zhes bya ba theg pa chen po'i mdo/
58	'phags pa dga' bo la mngal na gnas pa bstan pa zhes bya ba thed pa chen po'i mdo/
59	'phags pa 'jam dpal gyi sangs rgyas kyi zhing gi yon tan bkod pa zhes bya ba theg pa chen po'i mdo/
60	'phags pa yab dang sras mjal ba zhes/
61	'phags pa gang pos zhus pa zhes bya ba theg pa chen po'i mdo/
62	'phags pa yul 'khor skyong gis zhus pa zhes bya ba theg pa chen po'i mdo/
63	'phags pa drag shul can gyis zhus pa zhes bya ba theg pa chen po'i mdo/
64	'phags pa glog thob kyis zhus pa zhes bya ba theg pa chen po'i mdo/
65	sgyu ma mkhan bzang po lung bstan pa zhes bya ba theg pa chen po'i mdo/
66	'phags pa cho 'phrul chen po bstan pa zhes bya ba theg pa chen po'i mdo/
67	'phags pa byams pa'i seng ge'i sgra chen po zhes bya ba theg pa chen po'i mdo/
68	'phags pa 'dul ba rnam par gtan la dbab pa nye bar 'khor gyis zhus pa zhes bya ba theg pa chen po'i mdo/
69	'phags pa lhag pa'i bsam pa bskul ba zhes bya ba theg pa chen po'i mdo/
70	'phags pa lag bzangs kyis zhus pa zhes bya ba theg pa chen po'i mdo/
71	'phags pa nges pas zhus pa zhes bya ba theg pa chen po'i mdo/
72	'phags pa khyim bdag dpal byin gyis zhus pa zhes bya ba theg pa chen po'i mdo/
73	'phags pa bad sa'i rgyal po 'char byed kyis zhus pa zhes bya ba'i le'u/
74	'phags pa bu mo blo gros bzang mos zhus pa zhes bya ba theg pa chen po'i mdo/
75	'phags pa gang+gA'i mchog gis zhus pa zhes bya ba theg pa chen po'i mdo/
76	'phags pa mya ngan med kyis byin pa lung bstan pa zhes bya ba theg pa chen po'i mdo/
77	'phags pa dri ma med kyis byin pas zhus pa zhes bya ba theg pa chen po'i mdo/
78	'phags pa yon tan rin po che me tog kun tu rgyas pas zhus pa zhes bya ba theg pa chen po'i mdo/
79	'phags pa sangs rgyas kyi yul bsam gyis mi khyab pa bstan pa zhes bya ba theg pa chen po'i mdo/
80	'phags pa lha'i bu blo gros rab gnas kyis zhus pa zhes bya ba theg pa chen po'i mdo/
81	'phags pa seng ges zhus pa zhes bya ba theg pa chen po'i mdo/
82	'phags pa sangs rgyas thams cad kyi gsang chen thabs la mkhas pa byang chub sems dpa' ye shes dam pas zhus pa'i le'u zhes bya ba theg pa chen po'i mdo/
83	'phags pa tshong dpon bzang skyong gyis zhus pa zhes bya ba theg pa chen po'i mdo/
84	bu mo rnam dag dad pas zhus pa zhes bya ba theg pa chen po'i mdo/
85	'phags pa byams pas zhus pa zhes bya ba theg pa chen po'i mdo/
86	'phags pa byams pas zhus pa zhes bya ba theg pa chen po'i mdo/
87	'phags pa 'od srung gi le'u zhes bya ba theg pa chen po'i mdo/
88	'phags pa rin po che'i phung bo zhes bya ba theg pa chen po'i mdo/
89	'phags pa blo gros mi zad pas zhus pa zhes bya ba theg pa chen po'i mdo/
90	'phags pa shes rab kyi pha rol tu phyin pa bdun brgya pa zhes bya ba theg pa chen po'i mdo/
91	'phags pa gtsug na rin po ches zhus pa zhes bya ba theg pa chen po'i mdo/
92	'phags pa lha mo dpal 'phreng gi seng ge'i sgra zhes bya ba theg pa chen po'i mdo/
93	'phags pa drang srong rgyas pas zhus pa zhes bya ba theg pa chen po'i mdo/
94	'phags pa sangs rgyas phal po che zhes bya ba shin tu rgyas pa chen po'i mdo/
95	'phags pa bskal pa bzang po pa zhes bya ba theg pa chen po'i mdo/
96	'phags pa rgya cher rol pa zhes bya ba theg pa chen po'i mdo/
97	'phags pa 'jam dpal rnam par rol pa zhes bya ba theg pa chen po'i mdo/
98	'phags pa 'jam dpal rnam par 'phrul pa'i le'u zhes bya ba theg pa chen po'i mdo/
99	'phags pa de bzhin gshegs pa thams cad kyi byin gyi rlabs sems can la gzigs shing sangs rgyas kyi zhing gi bkod pa kun tu ston pa zhes bya ba theg pa chen po'i mdo/
100	'phags pa dkon mchog ta la la'i gzungs zhes bya ba theg pa chen po'i mdo/
101	de bzhin gshegs pa'i mtshan brgya rtsa brgyad pa/
102	'phags pa bcom ldan 'das kyi ye shes rgyas pa'i mdo sde rin po che mtha' yas pa mthar phyin pa zhes bya ba theg pa chen po'i mdo/
103	'phags pa sangs rgyas thams cad kyi yul la 'jug pa'i ye shes snang ba'i rgyan ces bya ba theg pa chen po'i mdo/
104	'phags pa dge ba'i rtsa ba yongs su 'dzin pa zhes bya ba theg pa chen po'i mdo/
105	'phags pa zung gi mdo'i chos kyi rnam grangs/
106	'phags pa khye'u snang ba bsam gyis mi khyab pas bstan pa zhes bya ba'i chos kyi rnam grangs/
107	'phags pa de bzhin gshegs pa rnams kyi sangs rgyas kyi zhing gi yon tan brjod pa'i chos kyi rnam grangs/
108	'phags pa dkyil 'khor brgyad pa zhes bya ba'i chos kyi rnam grangs theg pa chen po'i mdo/
